target_id,tag_id
IGES_NDC:unconditional:AL,BAU
IGES_NDC:unconditional:DZ,BAU
IGES_NDC:unconditional:AD,BAU
IGES_NDC:unconditional:AO,BAU
IGES_NDC:unconditional:BS,BAU
IGES_NDC:unconditional:BD,BAU
IGES_NDC:unconditional:BJ,BAU
IGES_NDC:unconditional:BN,BAU
IGES_NDC:unconditional:BF,BAU
IGES_NDC:unconditional:BI,BAU
IGES_NDC:unconditional:KH,BAU
IGES_NDC:unconditional:CF,BAU
IGES_NDC:unconditional:CO,BAU
IGES_NDC:unconditional:KM,BAU
IGES_NDC:unconditional:CI,BAU
IGES_NDC:unconditional:KP,BAU
IGES_NDC:unconditional:CD,BAU
IGES_NDC:unconditional:DO,BAU
IGES_NDC:unconditional:EG,BAU
IGES_NDC:unconditional:SZ,BAU
IGES_NDC:unconditional:ET,BAU
IGES_NDC:unconditional:FJ,BAU
IGES_NDC:unconditional:GM,BAU
IGES_NDC:unconditional:GT,BAU
IGES_NDC:unconditional:GW,BAU
IGES_NDC:unconditional:HT,BAU
IGES_NDC:unconditional:HN,BAU
IGES_NDC:unconditional:ID,BAU
IGES_NDC:unconditional:IR,BAU
IGES_NDC:unconditional:JM,BAU
IGES_NDC:unconditional:JO,BAU
IGES_NDC:unconditional:KE,BAU
IGES_NDC:unconditional:KI,BAU
IGES_NDC:unconditional:KW,BAU
IGES_NDC:unconditional:KG,BAU
IGES_NDC:unconditional:LB,BAU
IGES_NDC:unconditional:LS,BAU
IGES_NDC:unconditional:LR,BAU
IGES_NDC:unconditional:MG,BAU
IGES_NDC:unconditional:MW,BAU
IGES_NDC:unconditional:ML,BAU
IGES_NDC:unconditional:MR,BAU
IGES_NDC:unconditional:MU,BAU
IGES_NDC:unconditional:MX,BAU
IGES_NDC:unconditional:MN,BAU
IGES_NDC:unconditional:MA,BAU
IGES_NDC:unconditional:MZ,BAU
IGES_NDC:unconditional:NE,BAU
IGES_NDC:unconditional:NG,BAU
IGES_NDC:unconditional:OM,BAU
IGES_NDC:unconditional:PK,BAU
IGES_NDC:unconditional:PA,BAU
IGES_NDC:unconditional:PY,BAU
IGES_NDC:unconditional:PH,BAU
IGES_NDC:unconditional:RW,BAU
IGES_NDC:unconditional:VC,BAU
IGES_NDC:unconditional:ST,BAU
IGES_NDC:unconditional:SN,BAU
IGES_NDC:unconditional:SC,BAU
IGES_NDC:unconditional:SO,BAU
IGES_NDC:unconditional:LK,BAU
IGES_NDC:unconditional:PS,BAU
IGES_NDC:unconditional:SD,BAU
IGES_NDC:unconditional:TH,BAU
IGES_NDC:unconditional:TG,BAU
IGES_NDC:unconditional:TT,BAU
IGES_NDC:unconditional:TR,BAU
IGES_NDC:unconditional:UG,BAU
IGES_NDC:unconditional:AE,BAU
IGES_NDC:unconditional:TZ,BAU
IGES_NDC:unconditional:VE,BAU
IGES_NDC:unconditional:VN,BAU
IGES_NDC:unconditional:YE,BAU
IGES_NDC:unconditional:ZM,BAU
